Date,Company,Ticker,Open,High,Low,Close,Volume
2025-01-01,Reliance Industries,RELIANCE,1257.45,1268.25,1239.53,1254.7,3593477
2025-01-02,Reliance Industries,RELIANCE,1251.17,1298.79,1246.02,1287.11,5096945
2025-01-03,Reliance Industries,RELIANCE,1279.96,1288.88,1267.51,1269.61,1837261
2025-01-06,Reliance Industries,RELIANCE,1261.04,1270.2,1235.5,1238.43,2114784
2025-01-07,Reliance Industries,RELIANCE,1260.21,1268.12,1255.09,1255.47,3125259
2025-01-08,Reliance Industries,RELIANCE,1257.14,1266.57,1227.04,1231.47,3501625
2025-01-09,Reliance Industries,RELIANCE,1222.58,1271.22,1220.42,1263.71,5781335
2025-01-10,Reliance Industries,RELIANCE,1245.2,1252.55,1244.34,1250.25,4362638
2025-01-13,Reliance Industries,RELIANCE,1261.33,1272.61,1255.28,1265.6,2052697
2025-01-14,Reliance Industries,RELIANCE,1254.67,1267.5,1235.46,1244.64,1806012
2025-01-15,Reliance Industries,RELIANCE,1249.48,1253.59,1230.71,1241.2,6349901
2025-01-16,Reliance Industries,RELIANCE,1255.07,1261.04,1227.43,1236.48,6193403
2025-01-17,Reliance Industries,RELIANCE,1229.37,1231.31,1224.14,1225.63,5755328
2025-01-20,Reliance Industries,RELIANCE,1245.58,1258.05,1235.07,1244.34,2986749
2025-01-21,Reliance Industries,RELIANCE,1249.74,1292.23,1234.42,1284.71,1228266
2025-01-22,Reliance Industries,RELIANCE,1297.38,1306.05,1289.12,1299.8,1632452
2025-01-23,Reliance Industries,RELIANCE,1296.38,1320.64,1291.29,1305.1,2775045
2025-01-24,Reliance Industries,RELIANCE,1297.24,1328.65,1292.21,1319.0,5030200
2025-01-27,Reliance Industries,RELIANCE,1320.54,1348.25,1314.35,1343.96,3346920
2025-01-28,Reliance Industries,RELIANCE,1320.36,1337.15,1312.41,1327.79,3592776
2025-01-29,Reliance Industries,RELIANCE,1305.24,1311.28,1292.13,1295.75,3713262
2025-01-30,Reliance Industries,RELIANCE,1302.03,1355.65,1292.88,1346.63,3861241
2025-01-31,Reliance Industries,RELIANCE,1315.62,1323.83,1294.54,1315.39,3661698
2025-02-03,Reliance Industries,RELIANCE,1320.15,1321.9,1305.77,1319.72,5600519
2025-02-04,Reliance Industries,RELIANCE,1332.25,1347.72,1310.32,1310.84,5199565
2025-02-05,Reliance Industries,RELIANCE,1345.3,1350.32,1313.26,1321.71,3183322
2025-02-06,Reliance Industries,RELIANCE,1297.12,1301.38,1286.88,1299.11,2639919
2025-02-07,Reliance Industries,RELIANCE,1323.27,1329.51,1292.94,1305.01,2294696
2025-02-10,Reliance Industries,RELIANCE,1308.57,1340.33,1299.76,1339.76,4488132
2025-02-11,Reliance Industries,RELIANCE,1352.32,1353.3,1311.92,1322.62,4563694
2025-02-12,Reliance Industries,RELIANCE,1326.6,1339.65,1317.4,1335.27,4555667
2025-02-13,Reliance Industries,RELIANCE,1323.82,1379.48,1322.19,1368.68,5365226
2025-02-14,Reliance Industries,RELIANCE,1352.67,1386.83,1348.99,1372.24,6159580
2025-02-17,Reliance Industries,RELIANCE,1379.04,1418.88,1372.12,1399.86,2844274
2025-02-18,Reliance Industries,RELIANCE,1384.91,1392.8,1354.94,1364.99,4522207
2025-02-19,Reliance Industries,RELIANCE,1378.54,1395.57,1371.73,1379.28,13579557
2025-02-20,Reliance Industries,RELIANCE,1389.63,1392.02,1357.76,1368.61,3610806
2025-02-21,Reliance Industries,RELIANCE,1380.34,1400.46,1376.73,1392.51,2019415
2025-02-24,Reliance Industries,RELIANCE,1385.05,1416.46,1383.64,1406.81,4316396
2025-02-25,Reliance Industries,RELIANCE,1413.32,1422.67,1382.58,1391.26,2387275
2025-02-26,Reliance Industries,RELIANCE,1397.23,1426.34,1382.96,1411.75,2148002
2025-02-27,Reliance Industries,RELIANCE,1395.86,1420.58,1384.61,1409.22,22606073
2025-02-28,Reliance Industries,RELIANCE,1418.88,1462.52,1406.67,1448.31,3464673
2025-03-03,Reliance Industries,RELIANCE,1461.5,1468.88,1435.75,1441.6,4142638
2025-03-04,Reliance Industries,RELIANCE,1481.65,1494.6,1431.65,1432.29,3228830
2025-03-05,Reliance Industries,RELIANCE,1451.01,1455.58,1446.45,1453.12,5421152
2025-03-06,Reliance Industries,RELIANCE,1440.39,1455.37,1435.5,1446.43,10477858
2025-03-07,Reliance Industries,RELIANCE,1457.43,1467.27,1400.03,1404.74,5859618
2025-03-10,Reliance Industries,RELIANCE,1391.38,1402.54,1375.78,1388.93,2326479
2025-03-11,Reliance Industries,RELIANCE,1383.35,1388.04,1354.02,1371.94,4790961
2025-03-12,Reliance Industries,RELIANCE,1351.18,1393.82,1337.5,1373.91,2015309
2025-03-13,Reliance Industries,RELIANCE,1365.93,1401.92,1355.31,1397.49,5658024
2025-03-14,Reliance Industries,RELIANCE,1381.94,1391.57,1378.25,1380.88,3563822
2025-03-17,Reliance Industries,RELIANCE,1360.2,1400.97,1354.43,1400.58,4234743
2025-03-18,Reliance Industries,RELIANCE,1424.8,1439.98,1380.01,1388.4,2567186
2025-03-19,Reliance Industries,RELIANCE,1396.1,1406.57,1387.33,1401.52,3357169
2025-03-20,Reliance Industries,RELIANCE,1403.43,1438.11,1401.96,1420.58,10426539
2025-03-21,Reliance Industries,RELIANCE,1387.3,1398.89,1374.07,1383.93,3017035
2025-03-24,Reliance Industries,RELIANCE,1380.47,1385.5,1355.77,1368.64,4688658
2025-03-25,Reliance Industries,RELIANCE,1357.26,1389.61,1344.7,1379.64,5300612
2025-03-26,Reliance Industries,RELIANCE,1365.92,1378.19,1341.13,1352.55,3955407
2025-03-27,Reliance Industries,RELIANCE,1354.46,1391.05,1343.37,1386.01,3645533
2025-03-28,Reliance Industries,RELIANCE,1382.39,1423.26,1369.6,1410.15,7184708
2025-03-31,Reliance Industries,RELIANCE,1410.5,1435.04,1400.21,1428.24,3765667
2025-04-01,Reliance Industries,RELIANCE,1429.9,1449.59,1409.36,1445.65,2539028
2025-04-02,Reliance Industries,RELIANCE,1424.59,1468.05,1412.48,1454.71,5297552
2025-04-03,Reliance Industries,RELIANCE,1454.5,1463.67,1426.73,1431.44,6192217
2025-04-04,Reliance Industries,RELIANCE,1428.92,1435.65,1397.34,1408.11,3098175
2025-04-07,Reliance Industries,RELIANCE,1394.22,1410.53,1388.68,1400.75,3230129
2025-04-08,Reliance Industries,RELIANCE,1404.65,1405.17,1364.18,1368.46,3627117
2025-04-09,Reliance Industries,RELIANCE,1373.57,1423.76,1366.21,1410.46,3958765
2025-04-10,Reliance Industries,RELIANCE,1393.49,1400.24,1383.28,1393.44,2751745
2025-04-11,Reliance Industries,RELIANCE,1402.13,1449.25,1391.46,1441.23,5446941
2025-04-14,Reliance Industries,RELIANCE,1434.29,1449.22,1425.13,1440.51,2819712
2025-04-15,Reliance Industries,RELIANCE,1440.93,1471.45,1426.76,1454.28,10521508
2025-04-16,Reliance Industries,RELIANCE,1440.89,1473.8,1419.62,1463.95,2775289
2025-04-17,Reliance Industries,RELIANCE,1449.19,1452.81,1428.41,1433.99,2837376
2025-04-18,Reliance Industries,RELIANCE,1436.58,1465.38,1422.5,1445.85,3079855
2025-04-21,Reliance Industries,RELIANCE,1430.26,1444.39,1411.2,1443.36,6788550
2025-04-22,Reliance Industries,RELIANCE,1435.23,1451.61,1383.69,1391.4,6969244
2025-04-23,Reliance Industries,RELIANCE,1364.78,1373.0,1342.11,1350.47,3260758
2025-04-24,Reliance Industries,RELIANCE,1360.56,1367.95,1326.17,1334.82,5032852
2025-04-25,Reliance Industries,RELIANCE,1346.22,1346.4,1304.71,1319.37,4636829
2025-04-28,Reliance Industries,RELIANCE,1307.52,1353.11,1293.51,1344.42,4115962
2025-04-29,Reliance Industries,RELIANCE,1377.67,1428.72,1364.05,1421.61,5338307
2025-04-30,Reliance Industries,RELIANCE,1444.96,1457.59,1405.76,1420.29,1809511
2025-05-01,Reliance Industries,RELIANCE,1400.13,1407.02,1337.19,1349.15,7850287
2025-05-02,Reliance Industries,RELIANCE,1350.35,1391.01,1349.25,1390.34,3894218
2025-05-05,Reliance Industries,RELIANCE,1396.75,1399.92,1388.47,1396.35,2219935
2025-05-06,Reliance Industries,RELIANCE,1407.57,1420.46,1402.02,1417.28,2478970
2025-05-07,Reliance Industries,RELIANCE,1416.21,1443.95,1404.86,1440.99,3145187
2025-05-08,Reliance Industries,RELIANCE,1427.28,1429.93,1419.56,1424.96,2329012
2025-05-09,Reliance Industries,RELIANCE,1458.55,1464.59,1448.55,1459.91,3795976
2025-05-12,Reliance Industries,RELIANCE,1456.04,1485.87,1450.4,1472.58,3081360
2025-05-13,Reliance Industries,RELIANCE,1467.72,1467.81,1391.2,1407.34,8370594
2025-05-14,Reliance Industries,RELIANCE,1403.14,1428.39,1377.44,1418.12,6608113
2025-05-15,Reliance Industries,RELIANCE,1415.94,1416.55,1382.53,1392.01,2840930
2025-05-16,Reliance Industries,RELIANCE,1368.26,1370.55,1335.5,1352.74,5937138
2025-05-19,Reliance Industries,RELIANCE,1352.61,1397.81,1349.16,1389.05,7923993
2025-05-20,Reliance Industries,RELIANCE,1398.03,1405.36,1368.92,1372.35,2143048
2025-05-21,Reliance Industries,RELIANCE,1387.6,1436.29,1376.15,1435.71,2979335
2025-05-22,Reliance Industries,RELIANCE,1427.32,1430.95,1403.78,1412.53,2747144
2025-05-23,Reliance Industries,RELIANCE,1417.11,1424.26,1412.9,1416.26,3080039
2025-05-26,Reliance Industries,RELIANCE,1429.09,1445.42,1419.95,1442.41,5599143
2025-05-27,Reliance Industries,RELIANCE,1413.51,1432.54,1401.8,1427.76,2832112
2025-05-28,Reliance Industries,RELIANCE,1396.84,1405.49,1346.79,1356.34,2657928
2025-05-29,Reliance Industries,RELIANCE,1366.73,1374.57,1324.73,1326.26,2977735
2025-05-30,Reliance Industries,RELIANCE,1327.02,1332.94,1293.76,1306.86,3079872
2025-06-02,Reliance Industries,RELIANCE,1319.97,1330.69,1278.3,1293.52,1312914
2025-06-03,Reliance Industries,RELIANCE,1281.15,1301.56,1271.57,1294.85,3042550
2025-06-04,Reliance Industries,RELIANCE,1296.19,1310.02,1283.88,1292.95,4647877
2025-06-05,Reliance Industries,RELIANCE,1286.56,1292.05,1265.99,1275.65,3303711
2025-06-06,Reliance Industries,RELIANCE,1280.09,1340.89,1274.08,1328.29,6855393
2025-06-09,Reliance Industries,RELIANCE,1321.79,1324.39,1271.8,1273.69,3408622
2025-06-10,Reliance Industries,RELIANCE,1273.97,1322.39,1267.45,1312.8,5799211
2025-06-11,Reliance Industries,RELIANCE,1277.97,1295.43,1277.86,1283.77,6680405
2025-06-12,Reliance Industries,RELIANCE,1288.98,1299.98,1260.43,1279.74,4333299
2025-06-13,Reliance Industries,RELIANCE,1283.55,1286.89,1261.45,1273.32,2716248
2025-06-16,Reliance Industries,RELIANCE,1274.41,1284.5,1254.57,1263.84,6368617
2025-06-17,Reliance Industries,RELIANCE,1256.1,1258.72,1245.1,1250.38,4731653
2025-06-18,Reliance Industries,RELIANCE,1261.74,1273.7,1226.99,1241.17,4809221
2025-06-19,Reliance Industries,RELIANCE,1269.13,1270.42,1250.43,1251.83,7828018
2025-06-20,Reliance Industries,RELIANCE,1261.66,1270.64,1258.89,1260.78,12002054
2025-06-23,Reliance Industries,RELIANCE,1262.73,1276.86,1252.72,1265.6,4416013
2025-06-24,Reliance Industries,RELIANCE,1253.59,1281.71,1239.32,1264.61,8177802
2025-06-25,Reliance Industries,RELIANCE,1256.85,1263.76,1227.15,1234.84,6533061
2025-06-26,Reliance Industries,RELIANCE,1209.76,1250.1,1204.56,1243.43,2532083
2025-06-27,Reliance Industries,RELIANCE,1218.73,1244.94,1217.71,1237.16,2229336
2025-06-30,Reliance Industries,RELIANCE,1232.17,1275.86,1232.16,1269.56,3574785
2025-07-01,Reliance Industries,RELIANCE,1265.41,1272.72,1198.24,1204.36,5461821
2025-07-02,Reliance Industries,RELIANCE,1231.08,1262.6,1229.14,1256.41,12711427
2025-07-03,Reliance Industries,RELIANCE,1257.31,1265.42,1248.77,1258.0,3741652
2025-07-04,Reliance Industries,RELIANCE,1249.34,1256.67,1232.68,1237.41,2897095
2025-07-07,Reliance Industries,RELIANCE,1239.0,1253.88,1228.0,1233.68,6525173
2025-07-08,Reliance Industries,RELIANCE,1252.13,1257.92,1200.33,1205.77,2119349
2025-07-09,Reliance Industries,RELIANCE,1194.52,1210.06,1159.59,1171.0,7075861
2025-07-10,Reliance Industries,RELIANCE,1181.14,1185.75,1148.28,1157.49,2303735
2025-07-11,Reliance Industries,RELIANCE,1167.39,1172.65,1152.41,1162.69,4876403
2025-07-14,Reliance Industries,RELIANCE,1157.66,1184.14,1147.86,1182.16,5214196
2025-07-15,Reliance Industries,RELIANCE,1177.77,1186.22,1166.35,1185.04,3674009
2025-07-16,Reliance Industries,RELIANCE,1177.6,1204.01,1177.17,1200.19,1981801
2025-07-17,Reliance Industries,RELIANCE,1208.92,1224.66,1178.67,1181.42,8566804
2025-07-18,Reliance Industries,RELIANCE,1184.41,1188.94,1173.72,1182.71,3925735
2025-07-21,Reliance Industries,RELIANCE,1198.36,1209.12,1192.92,1201.19,3891769
2025-07-22,Reliance Industries,RELIANCE,1205.62,1206.36,1158.39,1168.87,4311901
2025-07-23,Reliance Industries,RELIANCE,1166.29,1175.65,1161.81,1167.03,2813002
2025-07-24,Reliance Industries,RELIANCE,1169.77,1178.7,1148.59,1149.52,6344634
2025-07-25,Reliance Industries,RELIANCE,1156.04,1173.25,1141.4,1161.72,6302560
2025-07-28,Reliance Industries,RELIANCE,1136.05,1140.03,1103.45,1110.23,5040150
2025-07-29,Reliance Industries,RELIANCE,1100.56,1107.88,1096.65,1104.59,2120160
2025-07-30,Reliance Industries,RELIANCE,1092.35,1094.64,1055.21,1066.1,2604550
2025-07-31,Reliance Industries,RELIANCE,1099.78,1117.35,1096.96,1109.87,5471916
2025-08-01,Reliance Industries,RELIANCE,1102.21,1122.9,1096.02,1104.96,6697018
2025-08-04,Reliance Industries,RELIANCE,1095.64,1109.97,1091.45,1095.27,9025837
2025-08-05,Reliance Industries,RELIANCE,1104.58,1114.0,1082.91,1093.72,5281995
2025-08-06,Reliance Industries,RELIANCE,1073.12,1078.49,1053.35,1059.39,5279291
2025-08-07,Reliance Industries,RELIANCE,1061.65,1069.64,1027.7,1036.45,5136619
2025-08-08,Reliance Industries,RELIANCE,1049.89,1074.32,1043.89,1065.97,1890907
2025-08-11,Reliance Industries,RELIANCE,1071.46,1083.41,1070.51,1075.79,2454723
2025-08-12,Reliance Industries,RELIANCE,1089.39,1098.89,1082.28,1088.94,4046610
2025-08-13,Reliance Industries,RELIANCE,1101.2,1108.23,1086.77,1091.3,3283684
2025-08-14,Reliance Industries,RELIANCE,1087.25,1096.39,1075.27,1091.92,2669566
2025-08-15,Reliance Industries,RELIANCE,1089.48,1102.32,1073.84,1081.18,6352316
2025-08-18,Reliance Industries,RELIANCE,1061.91,1077.53,1055.18,1067.33,6449196
2025-08-19,Reliance Industries,RELIANCE,1060.7,1104.46,1055.88,1087.93,3267461
2025-08-20,Reliance Industries,RELIANCE,1106.9,1143.16,1102.12,1138.71,3517274
2025-08-21,Reliance Industries,RELIANCE,1120.34,1122.56,1098.92,1102.15,3930950
